 radius= 4.1038E+01 lambda= 5.3200E-01 x= 6.4608E+02

Qext= 2.0331E+00 Qsca= 2.0331E+00 Qabs= 0.0000E+00 <cos>= 9.3873E-01
                 Qbk = 1.4257E+00
  theta       S11           POL           S33           S34
  88.58   1.86919E+03   7.51777E-01   6.51725E+02   1.04618E+03
  89.29   7.49836E+02   8.50150E-01  -1.99921E+02   3.40461E+02
  90.00   1.23557E+03   7.16813E-02  -1.20676E+03   2.50020E+02
  90.71   9.52922E+02   7.42150E-01  -3.98728E+01  -6.37435E+02
  91.42   1.75058E+03   7.47002E-01  -2.71795E+02  -1.13164E+03
  92.13   2.01488E+03   8.18497E-01   7.66666E+02   8.67288E+02
  92.83   5.95529E+02   9.70946E-01  -4.42275E+01   1.35473E+02
  93.54   1.77751E+03   2.94488E-01  -8.68256E+02   1.46002E+03
  94.25   1.11755E+03   8.07992E-01  -4.11878E+02  -5.13732E+02
  94.96   1.17447E+03   2.93647E-02  -1.10919E+03  -3.84575E+02
  95.67   1.11072E+03   8.43392E-01   5.04582E+02  -3.18677E+02
  96.38   9.32280E+02   6.94850E-01  -3.92721E+02  -5.43395E+02
  97.09   1.46817E+03   6.09240E-01   3.14214E+02   1.12104E+03
  97.80   6.45370E+02   6.15320E-01  -4.59343E+02  -2.18658E+02
  98.50   2.26878E+03   4.51052E-01  -7.46995E+02   1.88206E+03
  99.21   1.17320E+03   3.80556E-01  -3.98697E+02  -1.00902E+03
  99.92   1.59107E+03   1.71836E-01  -8.93773E+02   1.28761E+03
 100.63   1.75752E+03   4.70904E-01   2.93225E+02  -1.52248E+03
 101.34   6.98415E+02  -2.48987E-01  -5.89987E+02   3.30846E+02
 102.05   1.57660E+03   4.95051E-01   8.71995E+02  -1.05646E+03
 102.76   8.51613E+02   1.08729E-01  -8.45429E+02   4.38323E+01
 103.46   1.46443E+03   6.11354E-01   1.03535E+03  -5.20648E+02
 104.17   1.67929E+03   2.96027E-01  -1.60402E+03  -2.87997E+00
 104.88   3.14367E+03   6.89589E-01   1.81864E+03  -1.36955E+03
 105.59   2.93306E+03   2.71800E-01  -2.19038E+03  -1.78033E+03
 106.30   9.89915E+03   5.06298E-01   6.21375E+03  -5.85347E+03
 107.01   8.08526E+03   7.51901E-02   1.98698E+03  -7.81369E+03
 107.72   2.51893E+04   3.06389E-01   1.98565E+04  -1.34409E+04
 108.43   2.81171E+04   1.28626E-01   2.42266E+04  -1.38045E+04
 109.13   4.16523E+04   1.84287E-01   3.98581E+04  -9.34441E+03
 109.84   6.01599E+04   3.17345E-01   5.70214E+04  -1.81283E+03
 110.55   3.70397E+04   2.08362E-01   3.34327E+04   1.39510E+04
 111.26   5.03954E+04   4.80579E-01   4.02163E+04   1.83244E+04
 111.97   9.74991E+03   3.18932E-02  -1.59614E+03   9.61334E+03
 112.68   6.01805E+03  -2.45786E-01   4.28606E+03   3.95711E+03
 113.39   1.42369E+04   1.62138E-01   1.32532E+04  -4.65985E+03
 114.09   3.47408E+04   7.33328E-01   2.34637E+04   2.70758E+03
 114.80   1.81398E+04   5.55939E-01   1.21398E+04   8.94298E+03
 115.51   7.91078E+03   5.55296E-01   5.14164E+03   4.10451E+03
 116.22   1.29539E+04   6.26537E-01   7.36277E+03  -6.90806E+03
 116.93   2.10855E+04   8.11978E-01   1.12816E+04  -4.91915E+03
 117.64   1.07830E+04   4.79497E-01   9.45413E+03   3.99885E+02
 118.35   3.15709E+03  -6.92960E-01  -1.76488E+03  -1.43744E+03
 119.06   1.65999E+04   5.50108E-01   7.24410E+03  -1.18191E+04
 119.76   5.67214E+03  -8.49562E-02   5.05251E+03   2.53240E+03
 120.47   5.95786E+03  -7.52492E-01  -3.88167E+03  -5.73862E+02
 121.18   5.12681E+03   4.30931E-02   3.16010E+03  -4.03102E+03
 121.89   1.00140E+04   3.27000E-01   2.89298E+03   9.01040E+03
 122.60   1.92294E+03  -7.60035E-01  -1.62097E+02  -1.23912E+03
 123.31   1.07746E+04   8.56440E-01   5.55908E+03  -1.90802E+02
 124.02   2.21650E+03   1.46739E-01   1.17690E+03   1.84987E+03
 124.72   7.29944E+03   4.43121E-01  -1.23873E+03  -6.42535E+03
 125.43   3.38851E+03   8.35282E-03   2.76146E+03   1.96355E+03
 126.14   6.09053E+03  -4.70835E-02  -5.56037E+03  -2.46872E+03
 126.85   4.57928E+03   8.99934E-02   2.47055E+03   3.83358E+03
 127.56   2.28946E+03  -3.64362E-01  -2.11775E+03   2.46712E+02
 128.27   6.79618E+03   9.48710E-01   1.95900E+03   8.82509E+02
 128.98   6.02562E+02  -9.84202E-01   9.75343E+00   1.06235E+02
 129.69   4.24653E+03   5.49931E-01   2.23856E+02  -3.53967E+03
 130.39   5.46671E+03  -1.78858E-01  -5.37426E+03   2.14901E+02
 131.10   1.16974E+03   6.39502E-01   8.27196E+02   3.52777E+02
 131.81   2.92344E+03  -4.21233E-01  -2.30506E+03   1.31024E+03
 132.52   6.10918E+03   8.59874E-01  -3.08112E+03   4.83190E+02
 133.23   3.17356E+03  -3.83632E-01  -2.71916E+03  -1.09336E+03
 133.94   1.45695E+03   2.13329E-01  -5.37134E+02   1.31818E+03
 134.65   1.57455E+03  -2.81192E-01  -1.48771E+03  -2.64390E+02
 135.35   4.73382E+03   2.48678E-01  -3.67762E+03   2.73832E+03
 136.06   4.81894E+03   5.42480E-01  -3.81786E+03  -1.34616E+03
 136.77   4.05146E+03  -2.95990E-01  -3.82092E+03   6.13865E+02
 137.48   2.66668E+03   3.86257E-01  -2.42394E+03   4.18038E+02
 138.19   4.99714E+02   1.59822E-01  -9.18605E+01  -4.84662E+02
 138.90   6.55257E+02  -2.67649E-01  -5.83974E+02   2.39954E+02
 139.61   1.07308E+03   4.38414E-01  -1.25534E+02  -9.56254E+02
 140.31   2.01333E+03  -1.46067E-01  -1.88659E+03  -6.38578E+02
 141.02   2.75305E+03   4.09246E-01  -2.19488E+03  -1.22163E+03
 141.73   2.41378E+03   8.14496E-01  -1.11371E+03  -8.48982E+02
 142.44   1.11055E+03   5.66692E-01  -8.90974E+02  -2.08377E+02
 143.15   3.17196E+03   6.36924E-01  -2.38928E+03   5.20611E+02
 143.86   1.50063E+03  -1.49373E-01  -1.37419E+03   5.59685E+02
 144.57   9.55993E+02  -6.93587E-03  -9.47425E+02  -1.27533E+02
 145.28   1.36894E+03  -4.30658E-03  -1.35913E+03  -1.63474E+02
 145.98   1.36280E+03   3.71351E-01  -4.81012E+02  -1.17035E+03
 146.69   2.32745E+02  -2.64248E-01  -1.88578E+02   1.21762E+02
 147.40   2.15634E+03  -1.52226E-01  -2.06098E+03   5.42574E+02
 148.11   2.40077E+03   3.40547E-02  -2.15832E+03   1.04818E+03
 148.82   7.17261E+03   3.24835E-01  -6.20023E+03  -2.75228E+03
 149.53   5.03604E+03  -3.61554E-02  -5.00690E+03  -5.09398E+02
 150.24   3.37200E+02  -2.84441E-01  -3.22879E+02  -1.59199E+01
 150.94   9.21188E+02  -9.47105E-01  -2.28678E+02  -1.87363E+02
